t_sec,x_m,y_m,z_m,scale
7591.238222,-0.045670,-0.979592,-0.195739,0.000000
7591.253014,-0.045670,-0.979592,-0.195739,0.000000
7591.259693,-0.045670,-0.979592,-0.195739,0.000000
7591.269640,-0.045670,-0.979592,-0.195739,0.000000
7591.277202,-0.045670,-0.979592,-0.195739,0.000000
7591.287131,-0.045670,-0.979592,-0.195739,0.000000
7591.294226,-0.045670,-0.979592,-0.195739,0.000000
7591.304894,-0.045670,-0.979592,-0.195739,0.000000
7591.314759,-0.045670,-0.979592,-0.195739,0.000000
7591.321581,-0.045670,-0.979592,-0.195739,0.000000
7591.331367,-0.045670,-0.979592,-0.195739,0.000000
7591.338026,-0.045670,-0.979592,-0.195739,0.000000
7591.344772,-0.045670,-0.979592,-0.195739,0.000000
7591.354355,-0.045670,-0.979592,-0.195739,0.000000
7591.364701,-0.045670,-0.979592,-0.195739,0.000000
7591.371587,-0.045670,-0.979592,-0.195739,0.000000
7591.386838,-0.045670,-0.979592,-0.195739,0.000000
7591.394142,-0.045670,-0.979592,-0.195739,0.000000
7591.403620,-0.045670,-0.979592,-0.195739,0.000000
7591.410624,-0.045670,-0.979592,-0.195739,0.000000
7591.421056,-0.045670,-0.979592,-0.195739,0.000000
7591.436650,-0.045670,-0.979592,-0.195739,0.000000
7591.444319,-0.045670,-0.979592,-0.195739,0.000000
7591.453177,-0.045670,-0.979592,-0.195739,0.000000
7591.460664,-0.045670,-0.979592,-0.195739,0.000000
7591.471119,-0.045670,-0.979592,-0.195739,0.000000
7591.481338,-0.045670,-0.979592,-0.195739,0.000000
7591.487994,-0.045670,-0.979592,-0.195739,0.000000
7591.494530,-0.045670,-0.979592,-0.195739,0.000000
7591.504771,-0.045670,-0.979592,-0.195739,0.000000
7591.515271,-0.045670,-0.979592,-0.195739,0.000000
7591.522090,-0.045670,-0.979592,-0.195739,0.000000
7591.536274,-0.045670,-0.979592,-0.195739,0.000000
7591.584735,-0.045670,-0.979592,-0.195739,0.000000
7591.610918,-0.045670,-0.979592,-0.195739,0.000000
7591.654463,-0.045670,-0.979592,-0.195739,0.000000
7591.670768,-0.045670,-0.979592,-0.195739,0.000000
7591.718556,-0.045670,-0.979592,-0.195739,0.000000
7591.739324,-0.045670,-0.979592,-0.195739,0.000000
7591.787771,-0.045670,-0.979592,-0.195739,0.000000
7591.810718,-0.045670,-0.979592,-0.195739,0.000000
7591.858108,-0.045670,-0.979592,-0.195739,0.000000
7591.882541,-0.045670,-0.979592,-0.195739,0.000000
7591.932359,-0.045670,-0.979592,-0.195739,0.000000
7591.958709,-0.045670,-0.979592,-0.195739,0.000000
7592.004232,-0.045670,-0.979592,-0.195739,0.000000
7592.024143,-0.045670,-0.979592,-0.195739,0.000000
7592.071063,-0.045670,-0.979592,-0.195739,0.000000
7592.092959,-0.045670,-0.979592,-0.195739,0.000000
7592.143738,-0.045670,-0.979592,-0.195739,0.000000
7592.164910,-0.045670,-0.979592,-0.195739,0.000000
7592.213293,-0.045670,-0.979592,-0.195739,0.000000
7592.236286,-0.045670,-0.979592,-0.195739,0.000000
7592.280226,-0.045670,-0.979592,-0.195739,0.000000
7592.301182,-0.045670,-0.979592,-0.195739,0.000000
7592.348562,-0.045670,-0.979592,-0.195739,0.000000
7592.369475,-0.045670,-0.979592,-0.195739,0.000000
7592.414544,-0.045670,-0.979592,-0.195739,0.000000
7592.435707,-0.045670,-0.979592,-0.195739,0.000000
7592.481974,-0.045670,-0.979592,-0.195739,0.000000
7592.502233,-0.045670,-0.979592,-0.195739,0.000000
7592.550766,-0.045670,-0.979592,-0.195739,0.000000
7592.585425,-0.045670,-0.979592,-0.195739,0.000000
7592.620921,-0.045670,-0.979592,-0.195739,0.000000
7592.638549,-0.045670,-0.979592,-0.195739,0.000000
7592.685799,-0.045670,-0.979592,-0.195739,0.000000
7592.706396,-0.045670,-0.979592,-0.195739,0.000000
7592.753890,-0.045670,-0.979592,-0.195739,0.000000
7592.775314,-0.045670,-0.979592,-0.195739,0.000000
7592.823134,-0.045670,-0.979592,-0.195739,0.000000
7592.838671,-0.045670,-0.979592,-0.195739,0.000000
7592.895830,-0.045670,-0.979592,-0.195739,0.000000
7592.920191,-0.045670,-0.979592,-0.195739,0.000000
7592.965055,-0.045670,-0.979592,-0.195739,0.000000
7592.987802,-0.045670,-0.979592,-0.195739,0.000000
7593.031035,-0.045670,-0.979592,-0.195739,0.000000
7593.053939,-0.045670,-0.979592,-0.195739,0.000000
7593.101396,-0.045670,-0.979592,-0.195739,0.000000
7593.124843,-0.045670,-0.979592,-0.195739,0.000000
7593.168374,-0.045670,-0.979592,-0.195739,0.000000
7593.191744,-0.045670,-0.979592,-0.195739,0.000000
7593.238071,-0.045670,-0.979592,-0.195739,0.000000
7593.254890,-0.045670,-0.979592,-0.195739,0.000000
7593.304969,-0.045670,-0.979592,-0.195739,0.000000
7593.324278,-0.045670,-0.979592,-0.195739,0.000000
7593.373208,-0.045670,-0.979592,-0.195739,0.000000
7593.389836,-0.045670,-0.979592,-0.195739,0.000000
7593.450371,-0.045670,-0.979592,-0.195739,0.000000
7593.471626,-0.045670,-0.979592,-0.195739,0.000000
7593.518510,-0.045670,-0.979592,-0.195739,0.000000
